lat,lng,count
40.57410,-3.92850,1
46.76570,23.59430,94
48.21900,-1.68630,1
56.15670,10.21530,5
40.76620,-74.01780,2
45.27220,-75.75220,6
37.54280,-122.29710,9
12.96340,77.58550,2
51.55070,-0.05370,1
6.87190,79.89390,2
-28.72700,-51.58040,1
-25.97070,32.60100,1
38.34200,-0.48250,13
52.89960,-1.27140,1
-26.26590,-48.99870,4
48.76700,9.18270,8
28.65420,77.23730,1
57.70650,11.96700,1
60.17190,24.93470,2
45.27860,5.87750,1
6.25290,-75.56460,1
33.30400,-111.84780,1
47.60920,-122.11680,5
47.21490,-1.64930,1
-22.27430,166.44680,2
-29.91710,-51.08930,2
34.05440,-118.24410,2
35.68870,139.74500,3
39.70070,-75.74190,1
48.88000,2.24540,6
35.56800,139.67490,2
52.23310,6.89610,1
50.82880,3.26910,1
59.32740,18.06530,1
15.00000,30.00000,1
45.53490,9.22950,1
47.21440,-1.55120,1
46.96330,7.42270,1
41.38700,2.17010,3
59.61310,17.84950,4
40.64620,-73.95590,1
31.24200,121.47600,1
41.06510,28.99130,1
45.66610,9.62560,1
35.69480,139.75000,3
52.26930,5.17760,1
51.04640,13.69860,1
51.37830,5.57590,1
52.39070,4.86370,1
-29.00000,24.00000,1
51.66630,8.35880,1
48.88740,9.12690,1
-29.81630,-51.16370,1
48.21690,16.49970,2
47.24550,7.76220,1
47.24470,10.73740,1
31.04420,121.40540,3
55.25390,10.67070,7
47.44120,8.69450,2
42.43710,-71.77130,1
42.03110,-87.68580,1
30.32200,78.03000,1
39.40300,-0.41490,1
48.83150,2.48360,1
59.39960,17.94840,2
49.22620,-0.29670,5
-37.81590,144.96690,3
52.04280,8.52470,1
49.19950,16.62960,5
46.19800,9.02220,1
35.65020,139.73850,4
-34.60220,-58.38450,2
41.11850,1.25400,1
51.54350,-0.17330,2
49.25210,8.72770,1
52.38310,4.74720,5
51.56150,7.47000,3
51.44830,-0.08270,1
43.63490,-116.20230,2
24.65690,46.71790,1
45.29830,-0.92820,1
35.89410,139.65650,1
49.04010,8.71090,1
40.20570,-8.42130,1
56.33270,44.00120,16
-33.49400,143.21040,460
35.32740,25.12810,1
47.49730,-122.35550,1
43.46900,-80.49800,20
39.92850,116.38500,11
43.66940,-79.40180,7
49.77860,9.93080,18
48.16630,11.56830,51
49.98200,36.25660,1
55.65600,12.47990,14
22.25780,114.16570,3
35.90330,-78.74390,1
41.25910,-95.85170,63
50.80280,4.34230,2
46.52670,6.62430,3
6.13160,1.22400,2
11.01420,76.99410,2
48.91380,2.25690,4
29.42270,-98.49270,77
52.95380,-1.15710,2
3.41290,-76.51910,12
39.63270,-75.69980,3
37.76420,-122.39930,1
-25.50260,-49.29080,13
40.74240,-74.03250,2
47.56360,19.09470,4
50.96630,6.95640,3
49.44450,32.05740,12
22.61480,120.31390,1
31.56030,119.15740,15
41.89040,12.51260,12
47.56540,7.57060,7
48.69140,-122.41330,13
48.20490,16.36620,4
